2019/08/10 00:52:05.545|Trace|1||eGradeBook.Providers.CustomAuthorizationServerProvider|Auth server constructed||CustomAuthorizationServerProvider..ctor
2019/08/10 00:52:05.929|Trace|7|800000aa-0000-fa00-b63f-84710c7967bb|eGradeBook.Providers.LoggingMiddleware|HttpRequest { RemoteIP = ::1, Method = GET, Path = /, ResourceURI = http://localhost:50663/ }||LoggingMiddleware.Invoke
2019/08/10 00:52:08.030|Trace|7|800000aa-0000-fa00-b63f-84710c7967bb|eGradeBook.Providers.LoggingMiddleware|HttpRequest { RemoteIP = ::1, Method = GET, Path = /, ResourceURI = http://localhost:50663/ }||LoggingMiddleware.Invoke
2019/08/10 00:52:08.082|Trace|8|800000aa-0000-fa00-b63f-84710c7967bb|eGradeBook.Providers.LoggingMiddleware|HttpResponse { StatusCode = 200, ProcessingTime = 37 }||LoggingMiddleware.Invoke
2019/08/10 00:52:08.157|Trace|8|800000aa-0000-fa00-b63f-84710c7967bb|eGradeBook.Providers.LoggingMiddleware|HttpResponse { StatusCode = 200, ProcessingTime = 2206 }||LoggingMiddleware.Invoke
2019/08/10 00:52:26.487|Trace|6|8000000a-0002-f900-b63f-84710c7967bb|eGradeBook.Providers.LoggingMiddleware|HttpRequest { RemoteIP = ::1, Method = GET, Path = /api/admins/logs, ResourceURI = http://localhost:50663/api/admins/logs }||LoggingMiddleware.Invoke
2019/08/10 00:52:26.753|Info|6|8000000a-0002-f900-b63f-84710c7967bb|eGradeBook.Controllers.AdminsController|Get list of log files by {"UserId":0}||AdminsController.GetListOfLogfiles
2019/08/10 00:52:26.800|Trace|8|8000000a-0002-f900-b63f-84710c7967bb|eGradeBook.Providers.LoggingMiddleware|HttpResponse { StatusCode = 200, ProcessingTime = 294 }||LoggingMiddleware.Invoke
2019/08/10 00:52:42.852|Trace|7|8000000c-0002-f900-b63f-84710c7967bb|eGradeBook.Providers.LoggingMiddleware|HttpRequest { RemoteIP = ::1, Method = GET, Path = /api/admins/logs/archives, ResourceURI = http://localhost:50663/api/admins/logs/archives }||LoggingMiddleware.Invoke
2019/08/10 00:52:42.891|Info|7|8000000c-0002-f900-b63f-84710c7967bb|eGradeBook.Controllers.AdminsController|Get list of log files by {"UserId":0}||AdminsController.GetListOfArchivedLogfiles
2019/08/10 00:52:54.922|Error|7|8000000c-0002-f900-b63f-84710c7967bb|eGradeBook.Utilities.WebApi.NLogExceptionLogger|GET http://localhost:50663/api/admins/logs/archives|Could not find a part of the path 'C:\Users\Varga\source\repos\eGradeBook\eGradeBook\logs\archives'.|NLogExceptionLogger.Log
2019/08/10 00:52:54.975|Trace|6|8000000c-0002-f900-b63f-84710c7967bb|eGradeBook.Providers.LoggingMiddleware|HttpResponse { StatusCode = 500, ProcessingTime = 12086 }||LoggingMiddleware.Invoke
